"ID","FAMILY_ID","DR_DATE","DR_COMMENTS","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
40150,1011,"05-04-2015","","",04-APR-15 05.13.58.552000000 PM,"",04-APR-15 05.13.58.552000000 PM
9924,1020,"16-01-2014","","",16-JAN-14 02.28.36.037000000 PM,"",16-JAN-14 02.28.36.037000000 PM
9925,1028,"16-01-2014","","",16-JAN-14 02.30.26.504000000 PM,"",16-JAN-14 02.30.26.504000000 PM
40151,1018,"05-04-2015","","",04-APR-15 05.14.34.650000000 PM,"",04-APR-15 05.14.34.650000000 PM
40152,1020,"05-04-2015","","",04-APR-15 05.16.12.337000000 PM,"",04-APR-15 05.16.12.337000000 PM
40153,1022,"05-04-2015","","",04-APR-15 05.16.47.328000000 PM,"",04-APR-15 05.16.47.328000000 PM
40154,1023,"05-04-2015","","",04-APR-15 05.16.52.195000000 PM,"",04-APR-15 05.16.52.195000000 PM
40155,1025,"05-04-2015","","",04-APR-15 05.17.20.072000000 PM,"",04-APR-15 05.17.20.072000000 PM
40156,1027,"05-04-2015","","",04-APR-15 05.17.52.348000000 PM,"",04-APR-15 05.17.52.348000000 PM
40157,1028,"05-04-2015","","",04-APR-15 05.18.18.260000000 PM,"",04-APR-15 05.18.18.260000000 PM
6787,608,"12-11-2013","","",11-NOV-13 06.57.45.361000000 PM,"",11-NOV-13 06.57.45.361000000 PM
40159,2127,"05-04-2015","","",04-APR-15 05.18.47.697000000 PM,"",04-APR-15 05.18.47.697000000 PM
6788,610,"12-11-2013","","",11-NOV-13 06.58.29.141000000 PM,"",11-NOV-13 06.58.29.141000000 PM
40160,2138,"05-04-2015","","",04-APR-15 05.19.17.119000000 PM,"",04-APR-15 05.19.17.119000000 PM
40161,2298,"06-04-2015","","",05-APR-15 04.55.06.314000000 PM,"",05-APR-15 04.55.06.314000000 PM
40162,2300,"06-04-2015","","",05-APR-15 04.55.28.980000000 PM,"",05-APR-15 04.55.28.980000000 PM
40163,2304,"06-04-2015","","",05-APR-15 04.55.48.902000000 PM,"",05-APR-15 04.55.48.902000000 PM
40179,1670,"06-04-2015","","",05-APR-15 05.02.30.820000000 PM,"",05-APR-15 05.02.30.820000000 PM
40181,607,"06-04-2015","","",05-APR-15 05.03.16.169000000 PM,"",05-APR-15 05.03.16.169000000 PM
40182,608,"06-04-2015","","",05-APR-15 05.03.19.196000000 PM,"",05-APR-15 05.03.19.196000000 PM
40183,610,"06-04-2015","","",05-APR-15 05.03.36.496000000 PM,"",05-APR-15 05.03.36.496000000 PM
50101,2734,"22-07-2015","","",21-JUL-15 05.04.20.576000000 PM,"",21-JUL-15 05.04.20.576000000 PM
40185,2049,"06-04-2015","","",05-APR-15 05.04.23.873000000 PM,"",05-APR-15 05.04.23.873000000 PM
40186,2050,"06-04-2015","","",05-APR-15 05.04.37.586000000 PM,"",05-APR-15 05.04.37.586000000 PM
40187,2051,"06-04-2015","","",05-APR-15 05.05.34.104000000 PM,"",05-APR-15 05.05.34.104000000 PM
40188,2052,"06-04-2015","","",05-APR-15 05.05.37.739000000 PM,"",05-APR-15 05.05.37.739000000 PM
40189,2053,"06-04-2015","","",05-APR-15 05.05.53.324000000 PM,"",05-APR-15 05.05.53.324000000 PM
40190,2055,"06-04-2015","","",05-APR-15 05.06.37.706000000 PM,"",05-APR-15 05.06.37.706000000 PM
10002,608,"20-01-2014","","",17-JAN-14 06.48.08.499000000 PM,"",17-JAN-14 06.48.08.499000000 PM
10003,610,"20-01-2014","","",17-JAN-14 06.48.25.675000000 PM,"",17-JAN-14 06.48.25.675000000 PM
50102,2735,"22-07-2015","","",21-JUL-15 05.04.52.883000000 PM,"",21-JUL-15 05.04.52.883000000 PM
40191,2056,"06-04-2015","","",05-APR-15 05.07.21.089000000 PM,"",05-APR-15 05.07.21.089000000 PM
50103,2737,"22-07-2015","","",21-JUL-15 05.06.30.383000000 PM,"",21-JUL-15 05.06.30.383000000 PM
