"ID","ENV_NAME","ENV_RELEASE","ENV_COMMENTS","ENV_MONITOR","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE","ENV_DR_OBJECTIVE","ENV_DR_OBJECTIVE_REQUIRED","ENV_COLLECTION_ID","ENV_ARCHIVE","ARCHIVE_NOTIFICATION_EMAIL_ID","LAST_PURGE_DATE","ENV_TYPE","TOPO_ALIAS","ORDER_INPUTFILE","PROVISIONING_PLAN","LO_NOTIFICATION_EMAIL_ID","LOG_LOCATION","FAAT_SERIES","BROWSER"
1075,"REL9.2 BUNDLE PATCH TEST CDRM OVM (fuscdrmovm15)","REL9","requested by donnalyn.villados@oracle.com",1,"",10-FEB-16 04.00.09.854151000 PM,"",16-FEB-15 01.26.47.588747000 AM,0,0,"",0,"prcbuild_us_grp@oracle.com","11-02-2016","Central","REL92_OVM_15_Daily_BATS","/net/rws65742fwks.us.oracle.com/scratch/cgoh/dr_via_dte/REL9.2_OVM_15/order_daily.prop","/net/rws65742fwks.us.oracle.com/scratch/cgoh/dr_via_dte/REL9.2_OVM_15/prov_plan_gsi.prop","prcbatdr_us_grp@oracle.com","/net/rws66571fwks.us.oracle.com/scratch/amzhou/dr_via_dte/REL9.2_OVM_15","FAAT_11.1.9.2.0_GENERIC","Firefox"
1206,"REL13 PRC DIT","REL11","REL13 PRC DIT",0,"",10-FEB-16 04.00.09.888780000 PM,"",15-MAY-15 03.08.09.574888000 AM,0,0,"",1,"prcbuild_us_grp@oracle.com","11-02-2016","Family","","","","","","","IE"
1207,"REL10 ST16 GSI CDRM OVM Seeded role upgrade (fuscdrmovm2)","REL10","REL10 ST16 GSI CDRM OVM Seeded role upgrade (fuscdrmovm2)",0,"",10-FEB-16 04.00.09.981243000 PM,"",20-MAY-15 08.58.53.844828000 AM,0,0,"env.fa.st.rel10-st16-upgraded-cdrm",0,"prcbuild_us_grp@oracle.com","11-02-2016","Central","","","","","","","IE"
1233,"REL10 HCM Patch Testing","REL10","Requested by carla.bailey@oracle.com",0,"",10-FEB-16 04.00.10.032859000 PM,"",15-OCT-15 11.24.00.472145000 PM,0,0,"",0,"naravenk_org_ww@oracle.com","11-02-2016","Family","","","","","","","IE"
1208,"REL10 ST15 GSI CDRM OVM FOR REL11ST3_UPG (fuscdrmovm53)","REL10","REL10 ST15 GSI CDRM OVM FOR REL11ST3_UPG (fuscdrmovm53)",0,"",10-FEB-16 04.00.10.103809000 PM,"",20-MAY-15 02.54.28.309034000 PM,0,0,"",0,"prcbuild_us_grp@oracle.com","11-02-2016","Central","","","","","","","IE"
779,"REL8 HCM DEV PREMERGE","REL8","This environment is used for REL8 GA debug and pre-merge validation by Vito's team.",0,"",10-FEB-16 04.00.10.152238000 PM,"",27-AUG-14 05.06.32.119851000 AM,0,0,"",0,"naravenk_org_ww@oracle.com","11-02-2016","Family","","","","","","","IE"
1097,"REL9.2 HCM Family Patch Testing","REL9","REL9.2 HCM Family Patch Testing requested by carla.bailey@oracle.com",0,"",10-FEB-16 04.00.10.201825000 PM,"",29-OCT-15 12.32.09.752918000 AM,0,0,"",0,"naravenk_org_ww@oracle.com","11-02-2016","Family","","","","","","","IE"
1600,"REL11 ST17 CDRM Upgrade env (fuscdrmovm68)","REL11","REL11 ST17 CDRM Upgrade env (fuscdrmovm68)",0,"",10-FEB-16 04.00.36.207381000 PM,"",15-JAN-16 08.58.45.656323000 AM,0,0,"",0,"prcbuild_us_grp@oracle.com","11-02-2016","Central","R11ST17_FUSCDRMOVM68_daily_run","/net/slcnas535.us.oracle.com/export/fusionapps_rm/jvadlama/templates/order_prop/order_R11ST17_FUSCDRMOVM68_daily_run.prop","/net/slcnas535.us.oracle.com/export/fusionapps_rm/jvadlama/templates/prov_plan/prov_plan_R11ST17_FUSCDRMOVM68.prop","fa_lo_daily_bats_ww_grp@oracle.com","/net/slc06upa.us.oracle.com/scratch/maagagar/AUTO_WORK/R11ST17_FUSCDRMOVM68","FAAT_11.1.11.1.0_GENERIC","Firefox"
767,"REL8 GA CDRM DMZ","REL8","REL8 GA CDRM DMZ",0,"",10-FEB-16 04.00.37.314222000 PM,"",14-JUL-14 05.32.36.984633000 PM,1,1,"",0,"prcbuild_us_grp@oracle.com","11-02-2016","Central","","","","","","","IE"
422,"REL7 Bundle Patch","REL7","REL7 Bundle Patch - Daily Runs",0,"",10-FEB-16 04.00.37.440387000 PM,"",30-AUG-13 02.01.13.090422000 PM,0,0,"",0,"prcbuild_us_grp@oracle.com","11-02-2016","Central","","","","","","","IE"
