"ID","FAMILY_ID","TESTSET_QC_ID","TESTSET_NAME","TESTSET_DISPLAY_NAME","TESTSET_LOCATION","LAST_UPDATED_BY","LAST_UPDATED_DATE","CREATED_BY","CREATED_DATE"
18110,2939,"1742924","BAT-Holds_SerialTests","Distributed Order Orchestration\BAT-Holds_SerialTests","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Distributed Order Orchestration\BAT-Holds_SerialTests","",05-AUG-15 05.37.50.067000000 PM,"",05-AUG-15 05.37.50.067000000 PM
18111,2939,"1742925","BAT-ORCH_SerialTests","Distributed Order Orchestration\BAT-ORCH_SerialTests","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Distributed Order Orchestration\BAT-ORCH_SerialTests","",05-AUG-15 05.37.50.316000000 PM,"",05-AUG-15 05.37.50.316000000 PM
18112,2939,"1742926","BAT-OrderFlows","Distributed Order Orchestration\BAT-OrderFlows","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Distributed Order Orchestration\BAT-OrderFlows","",05-AUG-15 05.37.51.673000000 PM,"",05-AUG-15 05.37.51.673000000 PM
12682,2051,"1329203","TAP","TAP","Root\Fusion 1.0.9\1.0.9 - D. Build Validation Testing (BVT) - Daily Runs\Common\REL92CDRMOVM\TAP","",08-JAN-15 06.59.28.572000000 PM,"",08-JAN-15 06.59.28.572000000 PM
18113,2939,"1742927","BAT-STAT_SerialTests","Distributed Order Orchestration\BAT-STAT_SerialTests","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Distributed Order Orchestration\BAT-STAT_SerialTests","",05-AUG-15 05.37.52.843000000 PM,"",05-AUG-15 05.37.52.843000000 PM
9750,607,"424922","Adaptersetup","Adaptersetup","Root\Fusion 1.0.7\1.0.7 - L. Patch Testing\Bundle Patches\GRC\Adaptersetup","",16-SEP-14 11.51.19.128000000 AM,"",16-SEP-14 11.51.19.128000000 AM
18114,2939,"1742928","BAT-Workbench_SerialTests","Distributed Order Orchestration\BAT-Workbench_SerialTests","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Distributed Order Orchestration\BAT-Workbench_SerialTests","",05-AUG-15 05.37.53.811000000 PM,"",05-AUG-15 05.37.53.811000000 PM
18115,2939,"1742929","BATs","Enterprise Visualization\BATs","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Enterprise Visualization\BATs","",05-AUG-15 05.37.54.887000000 PM,"",05-AUG-15 05.37.54.887000000 PM
18116,2939,"1742950","BATs","Visual Information Navigator\BATs","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Visual Information Navigator\BATs","",05-AUG-15 05.37.55.371000000 PM,"",05-AUG-15 05.37.55.371000000 PM
18117,2939,"1742919","BATs","Configurator\BATs","Root\Fusion 1.0.10\1.0.10 - L. Patch Testing\Bundle Patches\SCM\REL10OVM18\Configurator\BATs","",05-AUG-15 05.37.55.714000000 PM,"",05-AUG-15 05.37.55.714000000 PM
